new_id,id,title,release_date,runtime,poster_path,backdrop_path,video_path,overview,genre,crew,cast,similar_movie
11,438650,콜드 체이싱,2019-02-07,119,http://image.tmdb.org/t/p/original//r2pzXSlKzof7U7ahrX5hh1HNGit.jpg,http://image.tmdb.org/t/p/w500//aiM3XxYE2JvW1vJ4AC6cI1RjAoT.jpg,https://www.youtube.com/embed/PJ_KD9FMaoA,"평범한 제설차 운전수이자 올해의 모범시민 ‘넬스 콕스맨’. 법 없이도 살 수 있던 그는 마약 조직의 사이코패스 보스 ‘바이킹’이 꾸며낸 아들의 처참한 죽음 앞에서 분노의 심판자로 다시 태어난다. ‘스피도’, ‘림보’, ‘산타’ 등 마피아들을 연달아 처단하며 그들의 소굴에 한 걸음 가까워질수록 ‘넬스’의 분노는 죽음도 대신할 수 없는 깊은 복수심으로 소용돌이 치는데…","[28, 18, 53, 80, 35]",[95972],"[3896, 4784, 2202462, 67979, 98661, 1417044, 1364004, 78797, 4730, 17941, 87310, 4735, 4520, 77865, 1328755, 107810, 1233165, 1563416, 74361, 1444307, 63566, 43297, 2482, 1560344, 90720, 1148696, 1442051, 17688, 60722, 146174, 946293, 158498, 1457244, 87575, 72099, 1516211, 157790, 208146, 1756897, 1233167, 105865, 63564, 1368790, 1532674, 1237281]","[275, 345887, 281957, 979, 3134, 281, 12143, 26390, 479, 357096, 984, 807, 1266, 1949, 2749, 4638, 341006, 395834, 398175, 74997]"
12,449562,허슬,2019-05-09,94,http://image.tmdb.org/t/p/original//qibqW5Dnvqp4hcEnoTARbQgxwJy.jpg,http://image.tmdb.org/t/p/w500//s6awXOxTKYQLSktiIJfI3969dZH.jpg,,,[35],[91493],"[221581, 1813, 136127, 222051, 1232063, 14329, 1181329, 1777483, 1668231, 94137, 1840374, 1625156, 1971914, 1326945, 1561309, 1743566, 1793925, 1434114, 1091324, 1278487, 1214511, 78334, 42095, 118617, 1525323, 1831379, 1971913]","[11895, 533, 9910, 13374, 9472, 6279, 58232, 12118, 339404, 209403, 151960, 106646, 10141, 161, 175, 9766, 13186, 10495, 10477, 9053]"
13,537915,애프터,2019-04-11,106,http://image.tmdb.org/t/p/original//zTZ7Q9mAwBQoYaR8HgGbmBNp6AC.jpg,http://image.tmdb.org/t/p/w500//997ToEZvF2Obp9zNZbY5ELVnmrW.jpg,https://www.youtube.com/embed/3udi2zGR1ko,모범생 ‘테사’와 반항아 ‘하딘’ 강렬했던 첫 만남 이후 아슬아슬하고 위태로운 사랑을 시작한다.,"[18, 10749]",[1586194],"[1753914, 1114487, 11826, 3130, 8212, 1684130, 1224112, 1039523, 2094603, 1685330, 2161745, 207150, 956385, 1075049, 2102723, 2094605]","[11121, 109689, 61979, 1259, 521, 13, 11560, 449176, 281957, 470229, 1628, 14313, 50270, 8067, 272693, 867, 11931, 38117, 332872, 10995]"
14,576393,장난스런 키스,2019-02-14,123,http://image.tmdb.org/t/p/original//wtaSH8MfJSCEIrrEX9SQuHdU5sl.jpg,http://image.tmdb.org/t/p/w500//yY7kr7Rgvo8W0Kr3U0bMV8Zq1qM.jpg,https://www.youtube.com/embed/r7CLEHF3Efw,"A반 남신 ‘장즈수’와 처음 본 순간 KISS한 F반 ‘위안샹친’! 수학처럼 안 풀려도 절대 포기할 수 없는 확률 0% 멀고도 용감한 짝사랑 일대기.  장난 아니게 설레는 로코의 새로운 흥행 공식. 2019년 봄, 너 x 나 = 공식 ♡ 로코","[10749, 35]",[1495940],"[1473995, 1574909, 2238409, 1675023, 1794457, 1529401, 54615, 2257563]","[505262, 378064, 81, 9323, 7249, 11430, 10515, 566555, 15789, 198375, 391713, 398818, 466282, 372058, 420817, 35, 15371, 128, 129, 149]"
15,450465,글래스,2019-01-16,129,http://image.tmdb.org/t/p/original//jFcPLDPjphkW4P4b1JhGN2Ggthk.jpg,http://image.tmdb.org/t/p/w500//lvjscO8wmpEbIfOEZi92Je8Ktlg.jpg,https://www.youtube.com/embed/pxUxFJTGB8o,"틈틈이 도시의 수호자로 활약하며 지내던 데이빗은 납치범 케빈의 존재를 알게 된다. 두 사람은 서로의 비범한 능력을 알아보지만 대결을 마무리 짓기도 전에 엘리 스테이플 박사(사라 폴슨)에 의해 정신병원에 수감된다. 병원에는 두 사람 외에 미스터 글래스도 입원해 있다. 엘리 박사는 이들을 자신이 슈퍼히어로라 믿는 과대망상 환자로 치부한다. 그 와중에 글래스는 자신만의 계획을 실행에 옮긴다. 불행한 히어로 데이빗과 상처 깊은 안티 히어로 케빈의 대결을 부추기고, 슈퍼히어로의 존재를 세상에 알리고자 한다. 그러면서 자신은 배후의 설계자이자 창조자로 남으려 한다.","[53, 9648, 18, 14, 878]",[11614],"[5530, 62, 2231, 1397778, 34490, 4012, 33689, 7002, 1216908, 11614, 2218722, 2048372, 2089211, 2089210, 1996069, 1599705, 1530423, 130843, 2279903, 2279904, 2279905, 1882245, 21474, 1882258, 91069, 102996, 1739972, 2279906, 127070, 187919, 2279908, 2279909, 1003288, 1722825, 73298, 2279912, 2279914, 2292112, 2279915, 1789650, 2279916, 2279917, 118941, 1569743, 1890563, 207389, 209426, 159870, 1826045, 1609946, 169620, 2089213, 1385066, 42239, 1935642, 2089212, 1935643]","[9738, 1452, 1979, 1924, 1927, 246655, 8536, 9531, 155, 36648, 141052, 284052, 49521, 36586, 44912, 71676, 263115, 315635, 9480, 1726]"
16,284054,블랙 팬서,2018-02-13,135,http://image.tmdb.org/t/p/original//iRkknrX0rRxZHSL79W2Rax0EFsL.jpg,http://image.tmdb.org/t/p/w500//6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg,https://www.youtube.com/embed/k0DF4LSG1z8,"유엔 폭탄 테러로 아버지를 잃은 와칸다의 왕자 티찰라는 시빌 워 이후 고국 와칸다로 돌아가 왕좌에 오른다. 와칸다의 새로운 지도자 블랙팬서가 된 그는 옛 연인이자 와칸다의 스파이 나키아, 호위 무사 오코예와 함께 최강 희귀 금속 비브라늄 폭탄 거래가 이뤄지는 부산을 찾는다. 폭탄 거래의 배후에 있는 인물은 와칸다와 묘종의 연이 있는 정체불명의 남자, 에릭 킬몽거. 그는 놀라운 위력으로 티찰라를 제압하고 와칸다의 새로운 왕이 되려 하고, 이에 블랙 팬서는 피할 수 없는 전쟁에 나서는데...","[28, 12, 14, 878]",[1056121],"[172069, 135651, 1267329, 82104, 7060, 206919, 1083010, 1447932, 1225953, 9780, 2178, 1333, 139900, 51878, 71078, 1856116, 4812, 1181397, 1979169, 165424, 1104414, 1979170, 1979176, 1580160, 1979172, 1979183, 1903679, 1431508, 7624, 1222428, 1734933, 77278, 1787399, 1979177, 1821546, 965219, 1787404, 171733, 1301772, 1609481, 1456750, 58930, 1688889, 131133, 60898, 1767219, 1787407, 973644, 1771603, 1787401, 1773399, 1787400, 1787402, 1460999, 1787405, 1787406, 1787408, 1367313, 1734929, 1795537, 1856121, 1856126, 1856124, 1856128, 1856131, 1856132, 1754081, 1856133, 1856135, 1856136, 1856138, 1856137, 1856139, 1826048, 1842715, 1856140, 1842230, 1787403, 2123041]","[9738, 246655, 1726, 1771, 1452, 10138, 10195, 1924, 1927, 1979, 271110, 68721, 99861, 100402, 141052, 299537, 299534, 8536, 166424, 9531]"
17,24428,어벤져스,2012-04-25,142,http://image.tmdb.org/t/p/original//a4I7nkXh7F5a927cSLMYVhozbs7.jpg,http://image.tmdb.org/t/p/w500//hbn46fQaRmlpBuUrEiFqv0GDL6Y.jpg,https://www.youtube.com/embed/mck3JCl2uwQ,"에너지원 큐브를 이용한 적의 등장으로 인류가 위험에 처하자 국제평화유지기구인 쉴드의 국장 닉 퓨리(사무엘 L. 잭슨)는 어벤져스 작전을 위해 전 세계에 흩어져 있던 슈퍼히어로들을 찾아나선다. 아이언맨(로버트 다우니 주니어)부터 토르(크리스 헴스워스), 헐크(마크 러팔로), 캡틴 아메리카(크리스 에반스)는 물론, 쉴드의 요원인 블랙 위도우(스칼렛 요한슨), 호크 아이(제레미 레너)까지, 최고의 슈퍼히어로들이 어벤져스의 멤버로 모이게 되지만, 각기 개성이 강한 이들의 만남은 예상치 못한 방향으로 흘러가는데...","[878, 28, 12]",[12891],"[3223, 16828, 74568, 103, 1245, 17604, 91606, 2231, 71189, 9048, 1640, 12052, 6162, 1214673, 60120, 43553, 1479945, 51303, 1479946, 86157, 6280, 14464, 188758, 168246, 60878, 81959, 1018947, 1033652, 87128, 101522, 5048, 1479957, 34486, 1479959, 1479961, 2256, 1224022, 1479967, 1480042, 1480043, 1480044, 79079, 1203089, 98626, 1480045, 156342, 19151, 7624, 1234512, 1480047, 150194, 19137, 66525, 1479962, 1263294, 1480048, 1153698, 1480049, 1191953, 1480051, 1480053, 1480055, 1403346, 1480056, 1466605, 1480057, 1480058, 1354406, 1480060, 1480065, 1480066, 1480067, 1480085, 1480087, 1480091, 1480096, 1480097, 1480124, 1480128, 1480130, 1480132, 1001496, 1480144, 1480146, 1480148, 1480150, 1480152, 1480153, 1365516, 1480198, 1480199, 1480200, 1480202, 1371850, 1480204, 1480208, 1454362, 1480209, 1480210, 1480211, 1480212, 1480213, 6037, 1480218, 1480219, 1480220, 1480221, 1480222, 1480223, 1480224, 1480226, 1673576, 1343164, 1376001, 1962256]","[1771, 246655, 299534, 36647, 1724, 1726, 68721, 10138, 10195, 49521, 9738, 271110, 99861, 100402, 141052, 315635, 429617, 299537, 166424, 379291]"
18,457799,나는 악마를 사랑했다,2019-05-02,111,http://image.tmdb.org/t/p/original//3S9hjxjPePMGUjNRwnA4MrQxJFX.jpg,http://image.tmdb.org/t/p/w500//5yXNf13ly6kFQSbI5BZRQlDhCib.jpg,https://www.youtube.com/embed/CNIs_GTfAGY,잔인한 연쇄살인범 테드 번디를 새로운 시선으로 바라본다. 수년간 번디가 무고하다 믿었던 그의 오랜 연인 리즈. 그녀의 눈에 비친 번디는 어떤 남자였을까.,"[53, 80, 18, 36]",[69237],"[29222, 112561, 115150, 6949, 5374, 85143, 9640, 1342463, 2034280, 1902692, 2034276, 2304785, 2304784, 1560360, 1545508, 69237, 64227, 2304795, 2304796, 2304797, 52886, 19152, 49271, 11067, 57637, 2304798, 115804, 2030356, 2034312, 2094326, 1738398, 2304799, 2304786, 2304787, 1865496, 2304790, 2304792, 1545515, 1109619]","[769, 55846, 423899, 424, 411728, 369972, 487558, 181283, 300671, 1359, 401847, 281957, 10692, 8461, 504, 867, 1696, 390584, 10139, 425336]"
19,166428,드래곤 길들이기 3,2019-01-03,104,http://image.tmdb.org/t/p/original//tR7qCJvVql0OQ42TzE1T6GUxjsI.jpg,http://image.tmdb.org/t/p/w500//lFwykSz3Ykj1Q3JXJURnGUTNf1o.jpg,https://www.youtube.com/embed/-nMTzdo-E1w,바이킹 족장으로 거듭난 히컵과 그의 영원한 친구 투슬리스가 누구도 찾지 못했던 드래곤의 파라다이스 히든월드를 찾아 떠나는 마지막 모험을 담은 스펙터클 액션 어드벤처,"[16, 10751, 12]",[69797],"[449, 59174, 1164, 112, 17276, 24264, 21007, 54691, 41091, 239019, 1718135, 130081, 138620, 2246293, 35981, 55398, 2246294, 110902, 154657, 20049]","[10140, 10191, 411, 2454, 2486, 581, 68737, 101299, 80274, 82702, 146, 2268, 630, 4935, 10539, 12155, 8619, 49529, 32657, 50619]"
20,526050,Little,2019-04-04,108,http://image.tmdb.org/t/p/original//4MDB6jJl3U7xK1Gw64zIqt9pQA4.jpg,http://image.tmdb.org/t/p/w500//tmM78qRhpg0i2Cky8Q8hXKASOXY.jpg,,,"[35, 14]",[84124],"[1407498, 1455336, 35705, 1120700, 1222596, 1828695, 1227482, 1003792, 1381406, 1523924, 1576808, 1855024, 1438315, 1758157, 2274740, 1863672, 2132439, 2088482, 2274741, 1569774, 2274742, 1964206, 2170802, 32905]",[]
